suburb_norm,tipologia,diaria_mediana,n_listings,receita_anual_projetada,sale_price_mediana,n_anuncios
ALTO SAO BENTO,1Q,280.0,3.0,56210.00000000001,,
ALTO SAO BENTO,2Q,199.0,1.0,39949.25,618710.0,35.0
ALTO SAO BENTO,4Q+,2500.0,1.0,501875.00000000006,,
ANDORINHA,1Q,,,,679500.0,8.0
ANDORINHA,2Q,,,,962000.0,68.0
ANDORINHA,3Q,,,,1699935.0,472.0
ANDORINHA,4Q+,,,,2789940.0,208.0
AREAL,1Q,556.0,1.0,111617.00000000001,,
CANTO DA PRAIA,1Q,793.0,1.0,159194.75,780000.0,7.0
CANTO DA PRAIA,2Q,509.0,4.0,102181.75000000001,1221806.5,14.0
CANTO DA PRAIA,3Q,600.0,3.0,120450.00000000001,1769930.0,66.0
CANTO DA PRAIA,4Q+,,,,6002000.0,16.0
CASA BRANCA,1Q,274.5,2.0,55105.87500000001,,
CASA BRANCA,2Q,350.0,11.0,70262.5,655000.0,20.0
CASA BRANCA,3Q,403.0,2.0,80902.25,778000.0,7.0
CASTELO BRANCO,1Q,,,,951000.0,1.0
CASTELO BRANCO,2Q,,,,1050000.0,59.0
CASTELO BRANCO,3Q,,,,1677375.0,298.0
CASTELO BRANCO,4Q+,,,,2550000.0,136.0
CENTRO,1Q,427.0,82.0,85720.25,890000.0,22.0
CENTRO,2Q,557.0,67.0,111817.75000000001,1145000.0,88.0
CENTRO,3Q,790.0,47.0,158592.5,2100000.0,435.0
CENTRO,4Q+,900.0,9.0,180675.00000000003,3900000.0,435.0
ESTREITO,3Q,,,,2750000.0,1.0
ESTREITO,4Q+,,,,5107500.0,4.0
ILHOTA,1Q,345.5,2.0,69359.125,220000.0,5.0
ILHOTA,2Q,467.5,4.0,93850.62500000001,,
ILHOTA,3Q,500.0,3.0,100375.00000000001,2025000.0,4.0
ILHOTA,4Q+,946.0,1.0,189909.50000000003,2845125.0,19.0
ITAPEMA,3Q,,,,1614947.5,2.0
JARDIM PRAIA MAR,1Q,,,,710000.0,6.0
JARDIM PRAIA MAR,2Q,,,,729990.5,88.0
JARDIM PRAIA MAR,3Q,,,,702191.0,8.0
JARDIM PRAIA MAR,4Q+,,,,4000000.0,1.0
JARDIM PRAIAMAR,1Q,200.0,1.0,40150.0,,
LEOPOLDO ZARLING,1Q,200.0,1.0,40150.0,,
MEIA PRAIA,1Q,360.0,41.0,72270.0,877500.0,58.0
MEIA PRAIA,2Q,450.0,190.0,90337.50000000001,1065000.0,242.0
MEIA PRAIA,3Q,650.0,332.0,130487.50000000001,1884860.0,1679.0
MEIA PRAIA,4Q+,1100.0,67.0,220825.00000000003,3700000.0,1395.0
MORRETES,1Q,350.0,7.0,70262.5,600000.0,48.0
MORRETES,2Q,446.0,59.0,89534.5,790000.0,1043.0
MORRETES,3Q,600.0,11.0,120450.00000000001,845000.0,155.0
MORRETES,4Q+,1000.0,5.0,200750.00000000003,6170982.5,58.0
OCEAN TOWER,4Q+,,,,4500000.0,1.0
SERTAO DO TROMBUDO,1Q,380.0,2.0,76285.0,950000.0,2.0
SERTAO DO TROMBUDO,2Q,,,,680000.0,7.0
SERTAO DO TROMBUDO,3Q,,,,2225000.0,2.0
SERTAO DO TROMBUDO,4Q+,1000.0,1.0,200750.00000000003,3675000.0,1.0
SERTAOZINHO,1Q,274.5,2.0,55105.87500000001,,
SERTAOZINHO,2Q,500.0,1.0,100375.00000000001,529360.0,1.0
SERTAOZINHO,3Q,500.0,1.0,100375.00000000001,,
SERTAOZINHO,4Q+,1651.25,1.0,331488.4375,,
TABULEIRO DOS OLIVEIRAS,1Q,100.0,1.0,20075.0,699000.0,3.0
TABULEIRO DOS OLIVEIRAS,2Q,425.0,12.0,85318.75,780000.0,111.0
TABULEIRO DOS OLIVEIRAS,3Q,597.0,4.0,119847.75000000001,830000.0,14.0
TABULEIRO DOS OLIVEIRAS,4Q+,1350.0,3.0,271012.5,4085460.0,1.0
VARZEA,1Q,185.0,3.0,37138.75,,
VARZEA,2Q,,,,644900.0,30.0
VARZEA,3Q,700.0,1.0,140525.0,795000.0,3.0
VARZEA,4Q+,1500.0,1.0,301125.0,,
