suburb_norm,tipologia,diaria_mediana,n_listings,receita_anual_projetada,sale_price_mediana,n_anuncios,retorno_bruto_anual_pct
ILHOTA,1Q,345.5,2,69359.125,220000.0,5,31.526874999999997
CANTO DA PRAIA,1Q,793.0,1,159194.75,780000.0,7,20.409583333333334
SERTAOZINHO,2Q,500.0,1,100375.00000000001,529360.0,1,18.96157624301043
VARZEA,3Q,700.0,1,140525.0,795000.0,3,17.67610062893082
TABULEIRO DOS OLIVEIRAS,3Q,597.0,4,119847.75000000001,830000.0,14,14.439487951807232
MORRETES,3Q,600.0,11,120450.00000000001,845000.0,155,14.254437869822487
MORRETES,1Q,350.0,7,70262.5,600000.0,48,11.710416666666665
MORRETES,2Q,446.0,59,89534.5,790000.0,1043,11.333481012658227
TABULEIRO DOS OLIVEIRAS,2Q,425.0,12,85318.75,780000.0,111,10.938301282051283
CASA BRANCA,2Q,350.0,11,70262.5,655000.0,20,10.727099236641221
CASA BRANCA,3Q,403.0,2,80902.25,778000.0,7,10.39874678663239
CENTRO,2Q,557.0,67,111817.75000000001,1145000.0,88,9.765742358078604
CENTRO,1Q,427.0,82,85720.25,890000.0,22,9.631488764044944
MEIA PRAIA,2Q,450.0,190,90337.50000000001,1065000.0,242,8.482394366197186
CANTO DA PRAIA,2Q,509.0,4,102181.75000000001,1221806.5,14,8.363169618102377
MEIA PRAIA,1Q,360.0,41,72270.0,877500.0,58,8.235897435897437
SERTAO DO TROMBUDO,1Q,380.0,2,76285.0,950000.0,2,8.03
CENTRO,3Q,790.0,47,158592.5,2100000.0,435,7.55202380952381
MEIA PRAIA,3Q,650.0,332,130487.50000000001,1884860.0,1679,6.922927962819521
CANTO DA PRAIA,3Q,600.0,3,120450.00000000001,1769930.0,66,6.805353884051913
ILHOTA,4Q+,946.0,1,189909.50000000003,2845125.0,19,6.674908835288433
TABULEIRO DOS OLIVEIRAS,4Q+,1350.0,3,271012.5,4085460.0,1,6.633585936467375
ALTO SAO BENTO,2Q,199.0,1,39949.25,618710.0,35,6.456861857736258
MEIA PRAIA,4Q+,1100.0,67,220825.00000000003,3700000.0,1395,5.9682432432432435
SERTAO DO TROMBUDO,4Q+,1000.0,1,200750.00000000003,3675000.0,1,5.462585034013606
ILHOTA,3Q,500.0,3,100375.00000000001,2025000.0,4,4.956790123456791
CENTRO,4Q+,900.0,9,180675.00000000003,3900000.0,435,4.6326923076923086
MORRETES,4Q+,1000.0,5,200750.00000000003,6170982.5,58,3.2531286549589153
TABULEIRO DOS OLIVEIRAS,1Q,100.0,1,20075.0,699000.0,3,2.8719599427753937
