suburb_norm,tipologia,receita_55,diaria_mediana,n_air,preco_venda_mediano,cond_mediana,iptu_mediana,n_viva,cond_anual_mediana,iptu_anual_mediana,receita_liquida_55,retorno_bruto_55_pct,retorno_liquido_55_pct
ALTO SAO BENTO,2Q,39949.25,199.0,1,618710.0,1.0,0.0,35,12.0,0.0,39937.25,6.456861857736258,6.454922338413796
CANTO DA PRAIA,1Q,159194.75,793.0,1,780000.0,500.0,100.0,7,6000.0,100.0,153094.75,20.409583333333334,19.627532051282053
CANTO DA PRAIA,2Q,102181.75,509.0,4,1221806.5,1.0,1.0,14,12.0,1.0,102168.75,8.363169618102376,8.362105619834237
CANTO DA PRAIA,3Q,120450.0,600.0,3,1769930.0,0.0,0.0,66,0.0,0.0,120450.0,6.805353884051913,6.805353884051913
CASA BRANCA,2Q,70262.5,350.0,11,655000.0,300.0,100.0,20,3600.0,100.0,66562.5,10.727099236641221,10.162213740458014
CASA BRANCA,3Q,80902.25,403.0,2,778000.0,0.0,0.0,7,0.0,0.0,80902.25,10.39874678663239,10.39874678663239
CENTRO,1Q,85720.25,427.0,82,890000.0,450.0,120.0,22,5400.0,120.0,80200.25,9.631488764044944,9.01126404494382
CENTRO,2Q,111817.75,557.0,67,1145000.0,470.5,700.0,88,5646.0,700.0,105471.75,9.765742358078603,9.21150655021834
CENTRO,3Q,158592.5,790.0,47,2100000.0,1.0,1.0,435,12.0,1.0,158579.5,7.55202380952381,7.551404761904762
CENTRO,4Q+,180675.00000000003,900.0,9,3900000.0,0.0,0.0,435,0.0,0.0,180675.00000000003,4.6326923076923086,4.6326923076923086
ILHOTA,1Q,69359.125,345.5,2,220000.0,250.0,60.0,5,3000.0,60.0,66299.125,31.526874999999997,30.135965909090913
ILHOTA,3Q,100375.0,500.0,3,2025000.0,3.0,900.0,4,36.0,900.0,99439.0,4.95679012345679,4.910567901234568
ILHOTA,4Q+,189909.50000000003,946.0,1,2845125.0,0.0,1800.0,19,0.0,1800.0,188109.50000000003,6.674908835288433,6.611642722200256
MEIA PRAIA,1Q,72270.0,360.0,41,877500.0,0.0,100.0,58,0.0,100.0,72170.0,8.235897435897437,8.224501424501424
MEIA PRAIA,2Q,90337.5,450.0,190,1065000.0,450.0,650.0,242,5400.0,650.0,84287.5,8.482394366197184,7.914319248826292
MEIA PRAIA,3Q,130487.5,650.0,332,1884860.0,500.0,400.0,1679,6000.0,400.0,124087.5,6.92292796281952,6.583380197998791
MEIA PRAIA,4Q+,220825.00000000003,1100.0,67,3700000.0,575.0,1.0,1395,6900.0,1.0,213924.00000000003,5.9682432432432435,5.781729729729731
MORRETES,1Q,70262.5,350.0,7,600000.0,0.5,100.0,48,6.0,100.0,70156.5,11.710416666666665,11.69275
MORRETES,2Q,89534.5,446.0,59,790000.0,300.0,425.0,1043,3600.0,425.0,85509.5,11.333481012658227,10.823987341772153
MORRETES,3Q,120450.0,600.0,11,845000.0,300.0,450.0,155,3600.0,450.0,116400.0,14.254437869822484,13.775147928994084
MORRETES,4Q+,200750.00000000003,1000.0,5,6170982.5,950.0,1900.0,58,11400.0,1900.0,187450.00000000003,3.2531286549589153,3.0376038175444515
SERTAO DO TROMBUDO,1Q,76285.0,380.0,2,950000.0,510.0,0.0,2,6120.0,0.0,70165.0,8.03,7.385789473684211
SERTAO DO TROMBUDO,4Q+,200750.00000000003,1000.0,1,3675000.0,,,1,,,,5.462585034013606,
SERTAOZINHO,2Q,100375.0,500.0,1,529360.0,400.0,800.0,1,4800.0,800.0,94775.0,18.961576243010427,17.90369502795829
TABULEIRO DOS OLIVEIRAS,1Q,20075.0,100.0,1,699000.0,0.0,0.0,3,0.0,0.0,20075.0,2.8719599427753937,2.8719599427753937
TABULEIRO DOS OLIVEIRAS,2Q,85318.75,425.0,12,780000.0,1.0,1.0,111,12.0,1.0,85305.75,10.938301282051283,10.936634615384614
TABULEIRO DOS OLIVEIRAS,3Q,119847.75,597.0,4,830000.0,350.0,1307.5,14,4200.0,1307.5,114340.25,14.439487951807228,13.77593373493976
TABULEIRO DOS OLIVEIRAS,4Q+,271012.5,1350.0,3,4085460.0,0.0,,1,0.0,,,6.633585936467375,
VARZEA,3Q,140525.0,700.0,1,795000.0,0.0,0.0,3,0.0,0.0,140525.0,17.67610062893082,17.67610062893082
