suburb_norm,tipologia,receita_anual,n_air,area_mediana,preco_venda_mediano,n_viva,receita_por_m2,retorno_bruto_pct
ALTO SAO BENTO,2Q,39949.25,1,65.0,618710.0,35,614.6038461538461,6.456861857736258
CANTO DA PRAIA,1Q,159194.75,1,50.0,780000.0,7,3183.895,20.409583333333334
CANTO DA PRAIA,2Q,102181.75,4,87.5,1221806.5,14,1167.7914285714285,8.363169618102376
CANTO DA PRAIA,3Q,120450.0,3,116.0,1769930.0,66,1038.3620689655172,6.805353884051913
CASA BRANCA,2Q,70262.5,11,69.5,655000.0,20,1010.9712230215828,10.727099236641221
CASA BRANCA,3Q,80902.25,2,70.0,778000.0,7,1155.7464285714286,10.39874678663239
CENTRO,1Q,85720.25,82,42.0,890000.0,22,2040.9583333333333,9.631488764044944
CENTRO,2Q,111817.75,67,86.0,1145000.0,88,1300.2063953488373,9.765742358078603
CENTRO,3Q,158592.5,47,131.0,2100000.0,435,1210.6297709923665,7.55202380952381
CENTRO,4Q+,180675.00000000003,9,200.0,3900000.0,435,903.3750000000001,4.6326923076923086
ILHOTA,1Q,69359.125,2,38.0,220000.0,5,1825.2401315789473,31.526874999999997
ILHOTA,3Q,100375.0,3,129.0,2025000.0,4,778.1007751937984,4.95679012345679
ILHOTA,4Q+,189909.50000000003,1,154.0,2845125.0,19,1233.1785714285716,6.674908835288433
MEIA PRAIA,1Q,72270.0,41,40.0,877500.0,58,1806.75,8.235897435897437
MEIA PRAIA,2Q,90337.5,190,85.0,1065000.0,242,1062.7941176470588,8.482394366197184
MEIA PRAIA,3Q,130487.5,332,129.0,1884860.0,1679,1011.531007751938,6.92292796281952
MEIA PRAIA,4Q+,220825.00000000003,67,190.0,3700000.0,1395,1162.2368421052633,5.9682432432432435
MORRETES,1Q,70262.5,7,43.5,600000.0,48,1615.2298850574712,11.710416666666665
MORRETES,2Q,89534.5,59,69.0,790000.0,1043,1297.6014492753623,11.333481012658227
MORRETES,3Q,120450.0,11,70.0,845000.0,155,1720.7142857142858,14.254437869822484
MORRETES,4Q+,200750.00000000003,5,188.5,6170982.5,58,1064.9867374005307,3.2531286549589153
SERTAO DO TROMBUDO,1Q,76285.0,2,77.5,950000.0,2,984.3225806451613,8.03
SERTAO DO TROMBUDO,4Q+,200750.00000000003,1,213.0,3675000.0,1,942.4882629107983,5.462585034013606
SERTAOZINHO,2Q,100375.0,1,55.0,529360.0,1,1825.0,18.961576243010427
TABULEIRO DOS OLIVEIRAS,1Q,20075.0,1,54.0,699000.0,3,371.75925925925924,2.8719599427753937
TABULEIRO DOS OLIVEIRAS,2Q,85318.75,12,69.0,780000.0,111,1236.5036231884058,10.938301282051283
TABULEIRO DOS OLIVEIRAS,3Q,119847.75,4,70.0,830000.0,14,1712.1107142857143,14.439487951807228
TABULEIRO DOS OLIVEIRAS,4Q+,271012.5,3,226.0,4085460.0,1,1199.1703539823009,6.633585936467375
VARZEA,3Q,140525.0,1,70.0,795000.0,3,2007.5,17.67610062893082
