airbnb_listing_id,diaria_media,diaria_mediana,dias_ocupados,min_data,max_data,qtd_linhas
1977915,877.0373149253732,850.0,67,2025-02-13,2025-04-20,67
2951220,789.6676470588235,670.0,85,2025-01-26,2025-04-20,85
3263701,1488.4615384615386,1650.0,26,2025-02-08,2025-04-10,26
3977675,242.7121210909091,198.0,55,2025-01-25,2025-03-31,55
5443557,799.1158536585366,793.0,82,2025-01-07,2025-04-07,82
6569062,738.6589740384615,750.0,104,2025-01-06,2025-04-19,104
8287843,616.9871794871794,700.0,78,2025-01-26,2025-04-20,78
8838629,747.7525242424242,650.0,66,2025-01-21,2025-04-17,66
8936081,493.037037037037,460.0,27,2025-02-28,2025-04-06,27
9327293,922.4090909090909,900.0,33,2025-01-27,2025-03-31,33
9658725,282.1,300.0,10,2025-03-24,2025-04-02,10
9784227,480.0,480.0,19,2025-02-01,2025-02-28,19
10266012,121.25,125.0,58,2025-02-01,2025-04-07,58
10340400,300.0,300.0,6,2025-03-06,2025-03-19,6
10982940,1800.0,1800.0,75,2025-01-23,2025-04-20,75
11044577,384.6154545454545,378.0,55,2025-01-30,2025-04-07,55
11508986,348.7307692307692,354.0,13,2025-02-13,2025-03-08,13
11567423,829.7014925373135,790.0,67,2025-01-20,2025-04-20,67
12067632,693.1764705882352,713.0,34,2025-02-14,2025-03-31,34
12359560,748.6012960784315,790.0,51,2025-02-13,2025-04-20,51
12490354,748.5075777777778,749.0,63,2025-02-02,2025-04-05,63
12931525,385.28985521739133,383.33334,46,2025-01-15,2025-04-20,46
13522176,2397.796875,2300.0,32,2025-02-10,2025-04-06,32
14872547,613.26953125,690.75,64,2025-01-27,2025-03-31,64
14884678,573.5714285714286,595.0,42,2025-03-10,2025-04-20,42
15024197,800.0,800.0,18,2025-01-30,2025-02-16,18
15500038,501.4212125,444.20000000000005,88,2025-01-15,2025-04-20,88
15523493,641.3103448275862,625.0,58,2025-01-27,2025-04-15,58
15549803,761.8444444444444,590.0,45,2025-01-13,2025-04-19,45
15732070,767.2513222222221,753.3333,63,2025-01-28,2025-03-31,63
15754075,673.5675621621622,620.3333,37,2025-01-28,2025-03-31,37
15791567,580.0,550.0,35,2025-02-16,2025-04-07,35
15909831,731.6773499999999,790.0,78,2025-02-02,2025-04-20,78
15934309,792.7428571428571,790.0,70,2025-02-10,2025-04-20,70
15980018,400.0,400.0,22,2025-03-30,2025-04-20,22
15980108,1500.0,1500.0,39,2025-02-09,2025-04-07,39
16017693,884.7222222222222,910.0,36,2025-01-26,2025-03-31,36
16105751,255.70967741935485,250.0,31,2025-01-29,2025-04-17,31
16177778,756.3804347826087,600.0,92,2025-01-19,2025-04-20,92
16253828,1605.4726054794519,1610.6666,73,2025-01-29,2025-04-19,73
16270332,896.2962962962963,900.0,54,2025-01-16,2025-03-10,54
