suburb_norm,tipologia,diaria_mediana,n_listings,receita_anual_projetada,sale_price_mediana,n_anuncios,retorno_bruto_anual_pct,nivel_confiabilidade,receita_anual_40,retorno_anual_40_pct,receita_anual_55,retorno_anual_55_pct,receita_anual_70,retorno_anual_70_pct
ILHOTA,1Q,345.5,2,69359.125,220000.0,5,31.526875,BAIXA,50443.0,22.928636363636365,69359.125,31.526874999999997,88275.25,40.125113636363636
CANTO DA PRAIA,1Q,793.0,1,159194.75,780000.0,7,20.40958333333333,BAIXA,115778.0,14.843333333333334,159194.75,20.409583333333334,202611.5,25.97583333333333
SERTAOZINHO,2Q,500.0,1,100375.0,529360.0,1,18.96157624301043,BAIXA,73000.0,13.790237267643949,100375.00000000001,18.96157624301043,127749.99999999999,24.132915218376905
VARZEA,3Q,700.0,1,140525.0,795000.0,3,17.67610062893082,BAIXA,102200.0,12.855345911949687,140525.0,17.67610062893082,178850.0,22.49685534591195
TABULEIRO DOS OLIVEIRAS,3Q,597.0,4,119847.75,830000.0,14,14.439487951807232,BAIXA,87162.0,10.50144578313253,119847.75000000001,14.439487951807232,152533.5,18.37753012048193
MORRETES,3Q,600.0,11,120450.0,845000.0,155,14.254437869822487,MEDIA,87600.0,10.366863905325443,120450.00000000001,14.254437869822487,153300.0,18.142011834319526
MORRETES,1Q,350.0,7,70262.5,600000.0,48,11.710416666666664,MEDIA,51100.0,8.516666666666667,70262.5,11.710416666666665,89425.0,14.904166666666665
MORRETES,2Q,446.0,59,89534.5,790000.0,1043,11.333481012658227,ALTA,65116.0,8.24253164556962,89534.5,11.333481012658227,113953.0,14.424430379746836
TABULEIRO DOS OLIVEIRAS,2Q,425.0,12,85318.75,780000.0,111,10.938301282051285,MEDIA,62050.0,7.955128205128205,85318.75,10.938301282051283,108587.5,13.92147435897436
CASA BRANCA,2Q,350.0,11,70262.5,655000.0,20,10.72709923664122,MEDIA,51100.0,7.801526717557252,70262.5,10.727099236641221,89425.0,13.65267175572519
CASA BRANCA,3Q,403.0,2,80902.25,778000.0,7,10.39874678663239,BAIXA,58838.0,7.562724935732648,80902.25,10.39874678663239,102966.5,13.234768637532135
CENTRO,2Q,557.0,67,111817.75,1145000.0,88,9.765742358078604,ALTA,81322.0,7.10235807860262,111817.75000000001,9.765742358078604,142313.5,12.429126637554585
CENTRO,1Q,427.0,82,85720.25,890000.0,22,9.631488764044944,MEDIA,62342.0,7.004719101123595,85720.25,9.631488764044944,109098.5,12.258258426966293
MEIA PRAIA,2Q,450.0,190,90337.5,1065000.0,242,8.482394366197186,ALTA,65700.0,6.169014084507042,90337.50000000001,8.482394366197186,114974.99999999999,10.795774647887322
CANTO DA PRAIA,2Q,509.0,4,102181.75,1221806.5,14,8.363169618102377,BAIXA,74314.0,6.082305176801728,102181.75000000001,8.363169618102377,130049.49999999999,10.644034059403022
MEIA PRAIA,1Q,360.0,41,72270.0,877500.0,58,8.235897435897437,ALTA,52560.0,5.98974358974359,72270.0,8.235897435897437,91980.0,10.482051282051282
SERTAO DO TROMBUDO,1Q,380.0,2,76285.0,950000.0,2,8.03,BAIXA,55480.0,5.84,76285.0,8.03,97090.0,10.22
CENTRO,3Q,790.0,47,158592.5,2100000.0,435,7.55202380952381,ALTA,115340.0,5.492380952380952,158592.5,7.55202380952381,201845.0,9.611666666666666
MEIA PRAIA,3Q,650.0,332,130487.5,1884860.0,1679,6.922927962819521,ALTA,94900.0,5.034856700232377,130487.50000000001,6.922927962819521,166075.0,8.810999225406661
CANTO DA PRAIA,3Q,600.0,3,120450.0,1769930.0,66,6.805353884051913,BAIXA,87600.0,4.949348279310481,120450.00000000001,6.805353884051913,153300.0,8.661359488793343
ILHOTA,4Q+,946.0,1,189909.50000000003,2845125.0,19,6.674908835288433,BAIXA,138116.0,4.854479152937041,189909.50000000003,6.674908835288433,241702.99999999997,8.495338517639823
TABULEIRO DOS OLIVEIRAS,4Q+,1350.0,3,271012.5,4085460.0,1,6.633585936467375,BAIXA,197100.0,4.824426135612637,271012.5,6.633585936467375,344925.0,8.442745737322113
ALTO SAO BENTO,2Q,199.0,1,39949.25,618710.0,35,6.456861857736258,BAIXA,29054.0,4.695899532899096,39949.25,6.456861857736258,50844.5,8.21782418257342
MEIA PRAIA,4Q+,1100.0,67,220825.00000000003,3700000.0,1395,5.968243243243244,ALTA,160600.0,4.34054054054054,220825.00000000003,5.9682432432432435,281050.0,7.595945945945946
SERTAO DO TROMBUDO,4Q+,1000.0,1,200750.00000000003,3675000.0,1,5.462585034013606,BAIXA,146000.0,3.972789115646259,200750.00000000003,5.462585034013606,255499.99999999997,6.952380952380952
ILHOTA,3Q,500.0,3,100375.0,2025000.0,4,4.956790123456791,BAIXA,73000.0,3.6049382716049383,100375.00000000001,4.956790123456791,127749.99999999999,6.308641975308642
CENTRO,4Q+,900.0,9,180675.00000000003,3900000.0,435,4.6326923076923086,MEDIA,131400.0,3.3692307692307697,180675.00000000003,4.6326923076923086,229949.99999999997,5.896153846153846
MORRETES,4Q+,1000.0,5,200750.00000000003,6170982.5,58,3.253128654958916,MEDIA,146000.0,2.365911749061029,200750.00000000003,3.2531286549589153,255499.99999999997,4.1403455608568
TABULEIRO DOS OLIVEIRAS,1Q,100.0,1,20075.0,699000.0,3,2.8719599427753937,BAIXA,14600.0,2.088698140200286,20075.0,2.8719599427753937,25550.0,3.655221745350501
